station,easting,northing
AME16_145,119.8982356,-21.2403634
AME16_146,119.8730465,-21.21692173
AME16_147,119.855808,-21.19809757
AME16_148,120.3490854,-21.19523247
AME16_149,120.3481747,-21.19519944
AME16_150,120.3477108,-21.19469318
AME16_151,120.3470763,-21.19390075
AME16_152,120.3474041,-21.19374418
AME16_153,119.7657087,-21.17439304
AME16_154,119.7898302,-21.17125905
AME16_155,119.8155994,-21.16473609
AME16_156,119.8212673,-21.16238178
AME16_157,119.8832236,-21.0112486
AME16_158,119.906197,-21.00686177
AME16_159,119.9139103,-21.03300978
AME16_160,119.9387003,-21.0392346
AME16_161,119.9561243,-21.05222345
AME16_162,119.9649246,-21.06154488
AME16_163,120.2239768,-21.22141887
AME16_164,120.2066226,-21.28900543
AME16_165,120.1824582,-21.30010097
AME16_166,120.1558249,-21.30819462
AME16_167,120.1245699,-21.30630065
AME16_168,120.0976519,-21.30824701
AME16_169,120.1035131,-21.32688677
AME16_170,120.1176411,-21.34951891
AME16_171,120.1416164,-21.36368316
AME16_172,120.1642945,-21.37598838
AME16_173,120.2098557,-21.36413905
AME16_174,120.2135545,-21.37023378
AME16_175,120.2162893,-21.37500376
AME16_176,120.2254638,-21.38556797
AME16_178,120.2130149,-21.3634001
AME16_179,120.2206619,-21.37050854
AME16_180,120.2205994,-21.37255272
AME16_181,120.2297758,-21.37667435
AME16_182,120.2329484,-21.37355536
AME16_183,120.22903,-21.37238
AME16_184,120.22898,-21.36771
AME16_185,120.22859,-21.37142
AME16_186,120.23219,-21.38273
AME16_187,120.2297,-21.38116
AME16_188,120.2297,-21.38116
AME16_189,120.22255,-21.37821
AME16_190,120.22192,-21.39167
AME16_191,120.21975,-21.39301
AME16_192,120.21676,-21.38488
AME16_193,120.21252,-21.39006
AME16_194,119.97795,-20.97844
AME16_195,119.97838,-20.97964
AME16_196,119.97839,-20.97986
AME16_197,119.97974,-20.98269
AME16_198,119.97987,-20.984
AME16_199,119.9784,-20.98902
AME16_200,119.97855,-20.98895
AME16_201,119.97998,-20.99315
AME16_202,120.21598,-21.3976
AME16_203,120.21408,-21.39492
AME16_204,120.20813,-21.3954
AME16_205,120.20759,-21.40212
AME16_206,120.2031,-21.40235
AME16_207,120.20044,-21.40559
AME16_208,120.19997,-21.40781
AME16_209,120.19695,-21.40068
AME16_210,120.19801,-21.39761
AME16_211,120.20126,-21.39557
AME16_212,120.20029,-21.38865
AME16_213,120.2034222,-21.38670808
AME16_214,120.207204,-21.38685023
AME16_215,120.2032461,-21.38054629
AME16_216,120.2109048,-21.3798029
AME16_217,120.2074891,-21.37366659
AME16_218,120.2089565,-21.36342944
AME16_219,120.2093253,-21.3640637
AME16_220,120.2300544,-21.39008565
AME16_221,120.2303321,-21.38995112
AME16_222,120.2284762,-21.38803686
AME16_223_a,120.2273052,-21.38795204
AME16_223_b,120.225609,-21.39015731
AME16_224,120.2219052,-21.39169011
AME16_225,120.2194566,-21.39266694
AME16_226,120.2167313,-21.39502762
AME16_227,120.2164761,-21.39561117
AME16_228,120.2142932,-21.39522887
AME16_229,120.2110299,-21.39642446
AME16_23,120.2615552,-21.3258962
AME16_230,120.2106123,-21.39820092
AME16_231,120.2091005,-21.39911572
AME16_232,120.2065435,-21.40130189
AME16_233,120.2063326,-21.40263311
AME16_234,120.205014,-21.40245239
AME16_235,120.2044405,-21.40319067
AME16_236,120.2042075,-21.40342243
AME16_237,120.2278491,-21.38430641
AME16_238,120.2287307,-21.38447925
AME16_239,120.2289388,-21.38310076
AME16_240,120.2289064,-21.38302716
AME16_241,120.2296878,-21.38149319
AME16_242,120.2303073,-21.37980566
AME16_243,120.2302428,-21.37934902
AME16_243_b,120.2302529,-21.37934566
AME16_244,120.2307533,-21.37894526
AME16_244_b,120.2307533,-21.37894526
AME16_245,120.2318348,-21.37709881
AME16_246,N/A,N/A
AME16_246b,N/A,N/A
AME16_247,120.2320361,-21.37401905
AME16_248,120.230896,-21.37291306
AME16_249,120.229898,-21.37235424
AME16_250,120.2301635,-21.37033403
AME16_251,120.2283935,-21.36720775
AME16_252,120.2279634,-21.36761175
AME16_253,120.226023,-21.36678706
AME16_254,120.2205681,-21.36675395
AME16_254_b,120.2185608,-21.36523079
AME16_255,120.2184231,-21.36525728
AME16_256,120.2174124,-21.36127923
AME16_257,120.2169992,-21.36124872
AME18_044,119.232563,-21.547243
AME18_299 a b,119.989532,-21.482212
AME18_298 a b,120.001766,-21.471238
AME18_297 a b,120.011604,-21.46265
AME18_257 a b,119.95456,-21.436695
AME18_024,120.086411,-21.434687
AME18_258 a b,119.968151,-21.434479
AME18_021,120.092495,-21.43405
AME18_259 a b,119.982293,-21.433528
AME18_022,120.091948,-21.432
AME18_256 a b,119.944149,-21.431863
AME18_023,120.089324,-21.43168
AME18_255 a b,119.936237,-21.421542
AME18_260,119.985646,-21.421382
AME18_029,120.177211,-21.420805
AME18_030,120.176281,-21.419967
AME18_031,120.1766,-21.418652
AME18_031b,120.176701,-21.418485
AME18_028,120.177025,-21.41806
AME18_254 a b,119.93073,-21.413722
AME18_261 a b,120.000708,-21.409188
AME18_253 a b,119.924515,-21.405916
AME18_288 a b,120.126179,-21.404199
AME18_302,120.012732,-21.402604
AME18_301,120.013238,-21.401817
AME18_250 a b,119.899262,-21.400751
AME18_252 a b,119.917576,-21.39915
AME18_300,120.01542,-21.39882
AME18_251 a b,119.909457,-21.39739
AME18_079 geochemistry,119.9888,-21.397178
AME18_079a,119.9888,-21.397178
AME18_079b,119.9888,-21.397178
AME18_084a,119.991827,-21.39429
AME18_087,119.991803,-21.394285
AME18_086,119.991807,-21.394284
AME18_085,119.991807,-21.394281
AME18_083,119.991814,-21.394273
AME18_262 a b,119.977228,-21.393821
AME18_249a b,119.868,-21.391565
AME18_285 a b,120.15939,-21.39136
AME18_287 a b,120.130746,-21.390871
AME18_284 a b,120.145824,-21.39083
AME18_263 a b,119.963295,-21.390559
AME18_082,119.994704,-21.389785
AME18_082 geochemistry,119.994704,-21.389785
AME18_081,119.995078,-21.388173
AME18_081 geochemistry,119.995078,-21.388173
AME18_080,119.995261,-21.386795
AME18_283 a b,120.127052,-21.384838
AME18_286 a b,120.161231,-21.383601
AME18_246 a b,119.826237,-21.382074
AME18_248 a b,119.842404,-21.380157
AME18_282 a b,120.110908,-21.375289
AME18_050 geochemistry,119.9642,-21.374243
AME18_051,119.964175,-21.374242
AME18_049,119.964206,-21.374239
AME18_048,119.965315,-21.372728
AME18_048 b,119.965315,-21.372728
AME18_107 geochemistry,119.974797,-21.372238
AME18_107a,119.974797,-21.372238
AME18_107b,119.974797,-21.372238
AME18_047,119.965867,-21.371895
AME18_047 geochemistry,119.965867,-21.371895
AME18_046,119.967173,-21.370697
AME18_046 geochemistry,119.967173,-21.370697
AME18_045,119.967394,-21.370296
AME18_225,119.95612,-21.36825
AME18_052a,119.967793,-21.368229
AME18_052a geochemistry,119.967793,-21.368229
AME18_052b Geochemistry,119.967793,-21.368229
AME18_052c,119.967793,-21.368229
AME18_226,119.956897,-21.368155
AME18_227,119.956884,-21.368122
AME18_053a,119.967945,-21.368114
AME18_053b,119.967945,-21.368114
AME18_053c,119.967945,-21.368114
AME18_053d,119.967945,-21.368114
AME18_053e,119.967945,-21.368114
AME18_053f geochemistry,119.967945,-21.368114
AME18_053g,119.967945,-21.368114
AME18_228,119.956862,-21.368064
AME18_088,119.938607,-21.367992
AME18_089,119.938588,-21.367823
AME18_090,119.939066,-21.367246
AME18_232,119.953883,-21.367232
AME18_293,120.224408,-21.36637
AME18_264 a b,119.90897,-21.366229
AME18_294,120.222156,-21.366154
AME18_289,120.224938,-21.365926
AME18_231,119.953062,-21.365799
AME18_290,120.224727,-21.365449
AME18_291,120.22659,-21.365046
AME18_291 geochemistry,120.22659,-21.365046
AME18_292,120.226711,-21.364656
AME18_229,119.954207,-21.364519
AME18_230,119.95329,-21.364199
AME18_106 geochemistry,119.983398,-21.363705
AME18_106a,119.983398,-21.363705
AME18_106b,119.983398,-21.363705
AME18_087,119.940472,-21.363683
AME18_281 a b,120.103989,-21.362287
AME18_238,119.963269,-21.362078
AME18_239,119.963421,-21.361944
AME18_237,119.962592,-21.361907
AME18_236,119.962756,-21.361849
AME18_108 a b,119.983535,-21.361729
AME18_214,119.963357,-21.361428
AME18_214 geochemistry,119.963357,-21.361428
AME18_213 a,119.96279,-21.361219
