Name,Field,Freq.,Km,L,F,P,Pj,T,U,K1dec,K1inc,K2dec,K2inc,K3dec,K3inc,K11,K22,K33,K12,K23,K13
AME18_020A_B,423,F1,144.3748,1.072,1.026,1.1,1.104,-0.469,-0.487,225.3,11,354.4,72.8,132.7,13,1.00773,1.00645,0.98581,0.04592,-0.01346,-0.00577
AME18_020A_C,423,F1,148.4654,1.073,1.022,1.096,1.101,-0.527,-0.543,221.4,10.7,327.8,56.1,124.7,31.7,1.01709,1.00304,0.97987,0.04139,-0.01642,-0.00442
AME18_020A_D,423,F1,201.7776,1.069,1.028,1.099,1.101,-0.416,-0.435,224.4,11.1,332.7,58,128,29.6,1.012,1.0057,0.9823,0.04245,-0.01802,-0.00211
AME18_020AA1,423,F1,156.1085,1.057,1.031,1.09,1.092,-0.291,-0.311,222.9,12.6,347.3,68.4,129,17.2,1.00928,0.99966,0.99106,0.04041,-0.01483,-0.00354
AME18_020AA2,423,F1,153.7748,1.064,1.036,1.102,1.104,-0.279,-0.301,224.5,11.9,331.3,53.6,126.4,33.7,1.01278,1.00484,0.98239,0.04168,-0.02171,0.00018
AME18_020AA3,423,F1,166.4146,1.066,1.025,1.093,1.096,-0.44,-0.457,228.2,13.2,356.2,69.1,134.4,15.9,1.00277,1.00933,0.9879,0.04205,-0.01542,-0.00519
AME18_020AB1,423,F1,218.195,1.071,1.026,1.099,1.103,-0.453,-0.471,229.4,13.9,5.1,71,136.2,12.8,1.00057,1.01161,0.98782,0.04467,-0.01617,-0.00672
AME18_020AB2,423,F1,188.5158,1.068,1.019,1.088,1.093,-0.556,-0.571,231.9,12.9,0.9,70,138.4,15,0.99845,1.01562,0.98592,0.0393,-0.01449,-0.00556
AME18_020AC1,423,F1,188.7453,1.07,1.028,1.1,1.103,-0.416,-0.436,229.7,11.9,24.2,76.8,138.5,5.5,0.99858,1.01266,0.98876,0.04584,-0.01234,-0.00707
AME18_020AD2,423,F1,192.1273,1.064,1.026,1.091,1.094,-0.418,-0.436,223.4,7,326.9,62.3,129.8,26.7,1.01197,1.00489,0.98314,0.04082,-0.01289,0.00082
AME18_020AD3,423,F1,122.9882,1.063,1.027,1.092,1.094,-0.401,-0.419,216.7,7.6,318.2,56.2,121.8,32.7,1.02218,0.99652,0.98129,0.03758,-0.0148,-0.00043
AME18_104A_C,423,F1,138.9855,1.032,1.132,1.168,1.179,0.601,0.576,247.1,58.8,123.9,18.3,25.3,24.3,0.94891,1.01844,1.03265,-0.0355,-0.03252,-0.04642
AME18_104A_C,423,F1,249.1515,1.355,1.151,1.559,1.575,-0.366,-0.46,253.7,57.5,98.3,30,1.8,11.2,0.82081,1.01818,1.16101,0.02205,-0.14413,-0.06525
AME18_104A_D,423,F1,96.74321,1.084,1.116,1.21,1.21,0.155,0.109,254.3,62.5,123.8,18.7,27,19.4,0.93411,1.0043,1.06159,-0.033,-0.04806,-0.03859
AME18_104AA1,423,F1,161.638,1.041,1.141,1.187,1.197,0.538,0.507,250.5,62.9,126.7,15.9,30.3,21.4,0.94729,1.00814,1.04457,-0.0453,-0.03774,-0.04297
AME18_104AA2,423,F1,124.0778,1.054,1.132,1.193,1.199,0.403,0.365,242.6,62.8,117.6,16.4,21.1,21,0.93336,1.01693,1.04971,-0.03007,-0.0343,-0.0476
AME18_104AA3,423,F1,158.4014,1.112,1.078,1.198,1.199,-0.172,-0.216,244.4,64.6,126.1,12.7,30.9,21.6,0.94547,0.98718,1.06734,-0.0192,-0.0511,-0.03942
AME18_104AB1,423,F1,621.2554,1.127,1.237,1.394,1.4,0.278,0.201,277.4,87.9,68.2,1.8,158.2,1,0.85322,0.99509,1.15169,0.06729,-0.006,0.00384
AME18_104AB2,423,F1,130.1328,1.086,1.09,1.183,1.183,0.025,-0.017,261,67.5,115.7,18.8,21.6,11.9,0.93099,1.00057,1.06844,-0.02515,-0.03606,-0.02023
AME18_104AB3,423,F1,161.8737,1.037,1.125,1.166,1.174,0.531,0.503,244.8,62,128.1,13.4,32,24.1,0.95879,1.00547,1.03574,-0.03938,-0.0365,-0.04246
AME18_104AC1,423,F1,143.1707,1.03,1.121,1.154,1.164,0.59,0.566,244.9,58.2,127.3,16,29,26.6,0.96049,1.01288,1.02663,-0.03424,-0.03395,-0.04468
AME18_104AC3,423,F1,159.7231,1.1,1.08,1.187,1.188,-0.105,-0.148,252.1,65.5,118.1,17.6,22.7,16.5,0.93579,0.99689,1.06732,-0.01901,-0.04322,-0.02994
